Metric,Group,W,p-value,Normal
Stars,Producer,0.12433654069900513,0.0,False
Stars,Consumer,0.34370553493499756,2.086238083329195e-14,False
Stars,Toolkit,0.19943642616271973,0.0,False
Stars,Both,0.3056609630584717,2.4279275543477148e-39,False
Size,Producer,0.2807353138923645,0.0,False
Size,Consumer,0.4182484745979309,1.4749433499636894e-13,False
Size,Toolkit,0.358523428440094,0.0,False
Size,Both,0.35771387815475464,2.79558258905661e-38,False
Forks,Producer,0.0702546238899231,0.0,False
Forks,Consumer,0.3474108576774597,2.2903028892894486e-14,False
Forks,Toolkit,0.11785084009170532,0.0,False
Forks,Both,0.27719593048095703,6.7945599418796e-40,False
Commit Count,Producer,0.06317329406738281,0.0,False
Commit Count,Consumer,0.44368332624435425,2.995477130229851e-13,False
Commit Count,Toolkit,0.17783230543136597,0.0,False
Commit Count,Both,0.4275538921356201,9.69327518320971e-37,False
ContributorNumber,Producer,0.1733219027519226,0.0,False
ContributorNumber,Consumer,0.6082072257995605,5.6670217130072587e-11,False
ContributorNumber,Toolkit,0.45914655923843384,0.0,False
ContributorNumber,Both,0.3336804509162903,8.873069520252529e-39,False
Project Age,Producer,0.8998287916183472,6.684040381464875e-29,False
Project Age,Consumer,0.9411618709564209,0.008710657246410847,False
Project Age,Toolkit,0.8879063725471497,4.362318592737694e-30,False
Project Age,Both,0.9061866402626038,7.170025372411285e-17,False
Activity Rate,Producer,0.055792391300201416,0.0,False
Activity Rate,Consumer,0.449911892414093,3.575500355859629e-13,False
Activity Rate,Toolkit,0.17543482780456543,0.0,False
Activity Rate,Both,0.4687628149986267,9.295494933221271e-36,False
