Metric,Group 1,Group 2,U-Statistic,Raw p-value,Adjusted p-value,Significant (Holm)
Stars,Producer,Consumer,37600.0,0.8802377615368228,1.0,False
Stars,Producer,Toolkit,697485.0,8.890251745429361e-26,5.334151047257616e-25,True
Stars,Producer,Both,256443.0,1.138540968054403e-14,5.692704840272015e-14,True
Stars,Consumer,Toolkit,29361.5,0.005910715713094759,0.023642862852379036,True
Stars,Consumer,Both,10805.5,0.007694432941979374,0.023642862852379036,True
Stars,Toolkit,Both,332783.0,0.7865643559220681,1.0,False
Size,Producer,Consumer,37945.5,0.9717830076479306,1.0,False
Size,Producer,Toolkit,863838.5,0.022945480276933234,0.0688364408307997,False
Size,Producer,Both,261818.0,6.282794291450296e-13,3.769676574870178e-12,True
Size,Consumer,Toolkit,35719.5,0.5485281918958655,1.0,False
Size,Consumer,Both,10800.0,0.007583977764328504,0.030335911057314015,True
Size,Toolkit,Both,275269.0,4.851122408320232e-08,2.4255612041601163e-07,True
Forks,Producer,Consumer,37066.0,0.7422282813668419,0.7422282813668419,False
Forks,Producer,Toolkit,740350.5,5.332056078243433e-17,3.19923364694606e-16,True
Forks,Producer,Both,255160.0,4.174247663708735e-15,2.0871238318543676e-14,True
Forks,Consumer,Toolkit,31268.0,0.035089958872454634,0.1052698766173639,False
Forks,Consumer,Both,10837.0,0.00835599669351939,0.03342398677407756,True
Forks,Toolkit,Both,317289.0,0.2033075336160859,0.4066150672321718,False
Commit Count,Producer,Consumer,37593.0,0.8783916361565851,0.8783916361565851,False
Commit Count,Producer,Toolkit,487874.0,2.018145440602381e-96,1.2108872643614287e-95,True
Commit Count,Producer,Both,239169.0,4.4583382123806944e-21,2.2291691061903473e-20,True
Commit Count,Consumer,Toolkit,19725.0,1.8511305252332343e-09,5.553391575699703e-09,True
Commit Count,Consumer,Both,9835.0,0.0004187579031670045,0.000837515806334009,True
Commit Count,Toolkit,Both,400800.0,1.5115573534043236e-12,6.046229413617294e-12,True
ContributorNumber,Producer,Consumer,29837.5,0.00413022784038814,0.00826045568077628,True
ContributorNumber,Producer,Toolkit,523521.0,1.9735318684192723e-84,1.1841191210515635e-83,True
ContributorNumber,Producer,Both,261573.5,6.905713717794785e-14,3.452856858897392e-13,True
ContributorNumber,Consumer,Toolkit,27984.5,0.0012021953910810923,0.0036065861732432767,True
ContributorNumber,Consumer,Both,13555.0,0.8221740921267943,0.8221740921267943,False
ContributorNumber,Toolkit,Both,402607.0,3.2796245470156823e-13,1.311849818806273e-12,True
Project Age,Producer,Consumer,37854.0,0.9474528740642565,1.0,False
Project Age,Producer,Toolkit,751891.0,5.8150977928729854e-15,3.489058675723791e-14,True
Project Age,Producer,Both,342529.0,0.45881193994215974,1.0,False
Project Age,Consumer,Toolkit,30949.0,0.02674811574323022,0.10699246297292088,False
Project Age,Consumer,Both,14224.0,0.7092019924634205,1.0,False
Project Age,Toolkit,Both,393655.0,2.40842804192083e-10,1.2042140209604148e-09,True
Activity Rate,Producer,Consumer,37400.0,0.8278926743855868,0.8278926743855868,False
Activity Rate,Producer,Toolkit,498357.0,8.9507216647551e-92,5.37043299885306e-91,True
Activity Rate,Producer,Both,240891.5,2.211820164210228e-20,1.105910082105114e-19,True
Activity Rate,Consumer,Toolkit,20294.5,5.978183199439395e-09,1.7934549598318186e-08,True
Activity Rate,Consumer,Both,10031.0,0.0007974579012087599,0.0015949158024175197,True
Activity Rate,Toolkit,Both,396313.0,3.442928956093338e-11,1.3771715824373352e-10,True
